pair	exposure_role	outcome_role	threshold_used	status	n_iv	n_iv_pre_steiger	mean_F	method	b	se	p	q_pval	egger_intercept	egger_intercept_p	presso_global_p	presso_corrected_b	presso_corrected_p	steiger_passes	FLAG_REVERSE_HIT
REV_ADHD__Gupta_2023_adj	ADHD	Gupta_2023_adj	5e-08	OK	23	23	39	Robust adjusted profile score (RAPS)	0.00712517545600339	0.0195088946229737	0.714941949969069		0.00178318982206205	0.735797235063355	0.00130434782608696			1	FALSE
REV_ASD__Longchamps_2022	ASD	Longchamps_2022	1e-05	OK	53	53	22.7	Inverse variance weighted	-0.00212972378463522	0.00444076694857784	0.631522743820134	0.903244228768484	-0.000457960023025073	0.647625460575654	0.6972			1	FALSE
REV_ASD__Longchamps_2022	ASD	Longchamps_2022	1e-05	OK	53	53	22.7	MR Egger	0.00234028805293302	0.0106824785394103	0.827559044768172	0.888305220449847	-0.000457960023025073	0.647625460575654	0.6972			1	FALSE
REV_ASD__Longchamps_2022	ASD	Longchamps_2022	1e-05	OK	53	53	22.7	Weighted median	-0.00307768184516989	0.00606180573829632	0.611651822171324		-0.000457960023025073	0.647625460575654	0.6972			1	FALSE
REV_ASD__Longchamps_2022	ASD	Longchamps_2022	1e-05	OK	53	53	22.7	Robust adjusted profile score (RAPS)	-0.00250868629564838	0.00471672952596292	0.594816130144551		-0.000457960023025073	0.647625460575654	0.6972			1	FALSE
REV_ASD__Chong_2022	ASD	Chong_2022	1e-05	OK	54	54	22.7	Inverse variance weighted	0.0034636408942389	0.00444068377943104	0.435403129957581	0.754731287544806	-0.00167648557794515	0.101486330319031	0.5578			1	FALSE
REV_ASD__Chong_2022	ASD	Chong_2022	1e-05	OK	54	54	22.7	MR Egger	0.0197919662711902	0.0107364562245249	0.0715758491343788	0.817676189242913	-0.00167648557794515	0.101486330319031	0.5578			1	FALSE
REV_ASD__Chong_2022	ASD	Chong_2022	1e-05	OK	54	54	22.7	Weighted median	0.00309194491723624	0.00622628968247651	0.619474612669763		-0.00167648557794515	0.101486330319031	0.5578			1	FALSE
REV_ASD__Chong_2022	ASD	Chong_2022	1e-05	OK	54	54	22.7	Robust adjusted profile score (RAPS)	0.00284245017791109	0.00473631643626064	0.548413326004716		-0.00167648557794515	0.101486330319031	0.5578			1	FALSE
REV_ASD__Gupta_2023_raw	ASD	Gupta_2023_raw	1e-05	OK	48	48	22.5	Inverse variance weighted	-0.00650905517036923	0.0083037305392294	0.433115693993137	0.225198732049487	-0.0008288472813642	0.658238811777669	0.18375			1	FALSE
REV_ASD__Gupta_2023_raw	ASD	Gupta_2023_raw	1e-05	OK	48	48	22.5	MR Egger	0.00147754715345915	0.0197897349269118	0.940837888498582	0.200935295125556	-0.0008288472813642	0.658238811777669	0.18375			1	FALSE
REV_ASD__Gupta_2023_raw	ASD	Gupta_2023_raw	1e-05	OK	48	48	22.5	Weighted median	-0.00811545550512071	0.0116764149488378	0.487036671564658		-0.0008288472813642	0.658238811777669	0.18375			1	FALSE
REV_ASD__Gupta_2023_raw	ASD	Gupta_2023_raw	1e-05	OK	48	48	22.5	Robust adjusted profile score (RAPS)	-0.00486153903607053	0.00886490877333814	0.583415490336614		-0.0008288472813642	0.658238811777669	0.18375			1	FALSE
REV_ASD__Gupta_2023_adj	ASD	Gupta_2023_adj	1e-05	OK	48	48	22.5	Inverse variance weighted	-0.000266010207243352	0.00779205532813473	0.972766592530195	0.472684569348949	0.00106664268757893	0.543545386744314	0.375			1	FALSE
REV_ASD__Gupta_2023_adj	ASD	Gupta_2023_adj	1e-05	OK	48	48	22.5	MR Egger	-0.0105452309439064	0.0185274246741749	0.572273131631123	0.445688308697748	0.00106664268757893	0.543545386744314	0.375			1	FALSE
REV_ASD__Gupta_2023_adj	ASD	Gupta_2023_adj	1e-05	OK	48	48	22.5	Weighted median	-0.0155332958906385	0.0109162721064129	0.154751008846965		0.00106664268757893	0.543545386744314	0.375			1	FALSE
REV_ASD__Gupta_2023_adj	ASD	Gupta_2023_adj	1e-05	OK	48	48	22.5	Robust adjusted profile score (RAPS)	-0.000776116346762691	0.008347939376996	0.925926592927746		0.00106664268757893	0.543545386744314	0.375			1	FALSE
REV_F3_NDev__Longchamps_2022	F3_NDev	Longchamps_2022	1e-05	OK	27	27	23.8	Inverse variance weighted	-0.00814350053264201	0.0246564250131373	0.741189124246972	1.86827726623762e-05	-0.00104660855612299	0.73410820243798		0.00680168998415369	0.736473936715249	1	FALSE
REV_F3_NDev__Longchamps_2022	F3_NDev	Longchamps_2022	1e-05	OK	27	27	23.8	MR Egger	0.0261350995479821	0.102902062830776	0.80158803267385	1.22986182699243e-05	-0.00104660855612299	0.73410820243798		0.00680168998415369	0.736473936715249	1	FALSE
REV_F3_NDev__Longchamps_2022	F3_NDev	Longchamps_2022	1e-05	OK	27	27	23.8	Weighted median	-0.0294765065568466	0.0250394329219777	0.23911431620444		-0.00104660855612299	0.73410820243798		0.00680168998415369	0.736473936715249	1	FALSE
REV_F3_NDev__Longchamps_2022	F3_NDev	Longchamps_2022	1e-05	OK	27	27	23.8	Robust adjusted profile score (RAPS)	-0.00226201899834121	0.017085929016426	0.894675228790682		-0.00104660855612299	0.73410820243798		0.00680168998415369	0.736473936715249	1	FALSE
REV_F3_NDev__Chong_2022	F3_NDev	Chong_2022	1e-05	OK	26	27	24	Inverse variance weighted	-0.0153489603168754	0.0223730562877402	0.49268369154479	0.00162862771400654	-0.00286012977685134	0.29915254722854	0.00153846153846154	-0.00406899288706305	0.839566997898124	0.962962962962963	FALSE
REV_F3_NDev__Chong_2022	F3_NDev	Chong_2022	1e-05	OK	26	27	24	MR Egger	0.0776742328142531	0.0904530188546103	0.398988127252658	0.00209052187435387	-0.00286012977685134	0.29915254722854	0.00153846153846154	-0.00406899288706305	0.839566997898124	0.962962962962963	FALSE
REV_F3_NDev__Chong_2022	F3_NDev	Chong_2022	1e-05	OK	26	27	24	Weighted median	-0.0182591368885726	0.0239343476651009	0.445532429469298		-0.00286012977685134	0.29915254722854	0.00153846153846154	-0.00406899288706305	0.839566997898124	0.962962962962963	FALSE
REV_F3_NDev__Chong_2022	F3_NDev	Chong_2022	1e-05	OK	26	27	24	Robust adjusted profile score (RAPS)	-0.0131166021727785	0.0172428817225641	0.446838282784171		-0.00286012977685134	0.29915254722854	0.00153846153846154	-0.00406899288706305	0.839566997898124	0.962962962962963	FALSE
REV_F3_NDev__Gupta_2023_raw	F3_NDev	Gupta_2023_raw	1e-05	OK	24	24	24.2	Inverse variance weighted	-0.039486799649781	0.0505105881821566	0.43435979617662	1.95794439738196e-08	0.00185604085585688	0.764699675672967		-0.0327114955790966	0.432699817657925	1	FALSE
REV_F3_NDev__Gupta_2023_raw	F3_NDev	Gupta_2023_raw	1e-05	OK	24	24	24.2	MR Egger	-0.0996864801486337	0.205223615101612	0.631950278004227	1.12744586723988e-08	0.00185604085585688	0.764699675672967		-0.0327114955790966	0.432699817657925	1	FALSE
REV_F3_NDev__Gupta_2023_raw	F3_NDev	Gupta_2023_raw	1e-05	OK	24	24	24.2	Weighted median	-0.0429834714232609	0.0468898550444588	0.359304993666826		0.00185604085585688	0.764699675672967		-0.0327114955790966	0.432699817657925	1	FALSE
REV_F3_NDev__Gupta_2023_raw	F3_NDev	Gupta_2023_raw	1e-05	OK	24	24	24.2	Robust adjusted profile score (RAPS)	-0.0481984922034551	0.0304753201801799	0.113750465202678		0.00185604085585688	0.764699675672967		-0.0327114955790966	0.432699817657925	1	FALSE
REV_F3_NDev__Gupta_2023_adj	F3_NDev	Gupta_2023_adj	1e-05	OK	24	24	24.2	Inverse variance weighted	-0.015805657842194	0.0444933794513278	0.722412667455572	1.91828698814044e-05	0.000980752109700489	0.857584748877837		0.00711735576547985	0.857651058360072	1	FALSE
REV_F3_NDev__Gupta_2023_adj	F3_NDev	Gupta_2023_adj	1e-05	OK	24	24	24.2	MR Egger	-0.0476152697970057	0.180996365401967	0.794942359098035	1.14053940182611e-05	0.000980752109700489	0.857584748877837		0.00711735576547985	0.857651058360072	1	FALSE
REV_F3_NDev__Gupta_2023_adj	F3_NDev	Gupta_2023_adj	1e-05	OK	24	24	24.2	Weighted median	-0.0350619911497291	0.0421525189052688	0.405528193185607		0.000980752109700489	0.857584748877837		0.00711735576547985	0.857651058360072	1	FALSE
REV_F3_NDev__Gupta_2023_adj	F3_NDev	Gupta_2023_adj	1e-05	OK	24	24	24.2	Robust adjusted profile score (RAPS)	-0.00521813799952926	0.0301903874160771	0.862776376171709		0.000980752109700489	0.857584748877837		0.00711735576547985	0.857651058360072	1	FALSE
REV_ANX__Longchamps_2022	ANX	Longchamps_2022	5e-08	OK	55	55	37.3	Inverse variance weighted	0.021044568434842	0.0126886906094323	0.0972106264840948	0.000346117547511599	0.00172043786107186	0.332431846493961		0.0260946362510268	0.0368073237699769	1	FALSE
REV_ANX__Longchamps_2022	ANX	Longchamps_2022	5e-08	OK	55	55	37.3	MR Egger	-0.0287706491270592	0.0524848621490658	0.585876484247349	0.000379609449839456	0.00172043786107186	0.332431846493961		0.0260946362510268	0.0368073237699769	1	FALSE
REV_ANX__Longchamps_2022	ANX	Longchamps_2022	5e-08	OK	55	55	37.3	Weighted median	0.0119436760406422	0.0148072732197248	0.419891934942811		0.00172043786107186	0.332431846493961		0.0260946362510268	0.0368073237699769	1	FALSE
REV_ANX__Longchamps_2022	ANX	Longchamps_2022	5e-08	OK	55	55	37.3	Robust adjusted profile score (RAPS)	0.0205640594434375	0.0133980610407315	0.12481984415482		0.00172043786107186	0.332431846493961		0.0260946362510268	0.0368073237699769	1	FALSE
REV_ANX__Chong_2022	ANX	Chong_2022	5e-08	OK	55	55	37.3	Inverse variance weighted	0.0273468831140097	0.0105981996162881	0.0098705113620162	0.176897436877068	0.00126016794552658	0.385322002982846	0.1246			1	FALSE
REV_ANX__Chong_2022	ANX	Chong_2022	5e-08	OK	55	55	37.3	MR Egger	-0.00918482223330496	0.0430501799454257	0.831903377346423	0.172702882772562	0.00126016794552658	0.385322002982846	0.1246			1	FALSE
REV_ANX__Chong_2022	ANX	Chong_2022	5e-08	OK	55	55	37.3	Weighted median	0.0461304159215117	0.0148605938271861	0.00190787341763477		0.00126016794552658	0.385322002982846	0.1246			1	FALSE
REV_ANX__Chong_2022	ANX	Chong_2022	5e-08	OK	55	55	37.3	Robust adjusted profile score (RAPS)	0.0310051685364257	0.0109084588512633	0.00447886027698386		0.00126016794552658	0.385322002982846	0.1246			1	FALSE
REV_ANX__Gupta_2023_raw	ANX	Gupta_2023_raw	5e-08	OK	52	52	37.3	Inverse variance weighted	0.0135183853870235	0.0221531855500034	0.54171403484029	0.000197930446154441	-0.00015193661838932	0.961266124474709	2e-04	-0.00340270087588472	0.857765098302046	1	FALSE
REV_ANX__Gupta_2023_raw	ANX	Gupta_2023_raw	5e-08	OK	52	52	37.3	MR Egger	0.0179030560829127	0.0925777221554313	0.847441647283181	0.000140547643726645	-0.00015193661838932	0.961266124474709	2e-04	-0.00340270087588472	0.857765098302046	1	FALSE
REV_ANX__Gupta_2023_raw	ANX	Gupta_2023_raw	5e-08	OK	52	52	37.3	Weighted median	0.0160531194466757	0.0254947200770969	0.528914132220487		-0.00015193661838932	0.961266124474709	2e-04	-0.00340270087588472	0.857765098302046	1	FALSE
REV_ANX__Gupta_2023_raw	ANX	Gupta_2023_raw	5e-08	OK	52	52	37.3	Robust adjusted profile score (RAPS)	0.00879918892427202	0.0220462570889341	0.689801885494129		-0.00015193661838932	0.961266124474709	2e-04	-0.00340270087588472	0.857765098302046	1	FALSE
REV_ANX__Gupta_2023_adj	ANX	Gupta_2023_adj	5e-08	OK	52	52	37.3	Inverse variance weighted	0.0211954237704135	0.0199191101577567	0.287294801742818	0.0151626172894061	0.00254111805062625	0.364375796824055	0.0134	0.0293601577888057	0.116820407376831	1	FALSE
REV_ANX__Gupta_2023_adj	ANX	Gupta_2023_adj	5e-08	OK	52	52	37.3	MR Egger	-0.0521386818787767	0.0825584760417162	0.530566710914556	0.0152350764608743	0.00254111805062625	0.364375796824055	0.0134	0.0293601577888057	0.116820407376831	1	FALSE
REV_ANX__Gupta_2023_adj	ANX	Gupta_2023_adj	5e-08	OK	52	52	37.3	Weighted median	0.00488904627389748	0.0247897553643022	0.843655041818353		0.00254111805062625	0.364375796824055	0.0134	0.0293601577888057	0.116820407376831	1	FALSE
REV_ANX__Gupta_2023_adj	ANX	Gupta_2023_adj	5e-08	OK	52	52	37.3	Robust adjusted profile score (RAPS)	0.0218845174970629	0.0202175463785869	0.279051865135546		0.00254111805062625	0.364375796824055	0.0134	0.0293601577888057	0.116820407376831	1	FALSE
REV_OCD__Longchamps_2022	OCD	Longchamps_2022	1e-05	OK	71	71	22.3	Inverse variance weighted	-0.00346161088553786	0.00527511143448949	0.511685355545667	0.0302356273455483	-0.00120394825167094	0.37696588176134	0.0316			1	FALSE
REV_OCD__Longchamps_2022	OCD	Longchamps_2022	1e-05	OK	71	71	22.3	MR Egger	0.0143601552600101	0.0207262679157382	0.49073034322094	0.0297753969219038	-0.00120394825167094	0.37696588176134	0.0316			1	FALSE
REV_OCD__Longchamps_2022	OCD	Longchamps_2022	1e-05	OK	71	71	22.3	Weighted median	-0.00470183738133004	0.00637677677287149	0.460917062595882		-0.00120394825167094	0.37696588176134	0.0316			1	FALSE
REV_OCD__Longchamps_2022	OCD	Longchamps_2022	1e-05	OK	71	71	22.3	Robust adjusted profile score (RAPS)	-0.00226728799104835	0.00567960024970468	0.689746936617637		-0.00120394825167094	0.37696588176134	0.0316			1	FALSE
REV_OCD__Chong_2022	OCD	Chong_2022	1e-05	OK	71	71	22.3	Inverse variance weighted	0.00284720912007852	0.00499278550336946	0.568498207364699	0.595175497095258	0.000432425907167443	0.718234188879755	0.7176			1	FALSE
REV_OCD__Chong_2022	OCD	Chong_2022	1e-05	OK	71	71	22.3	MR Egger	-0.00353818725563962	0.0183063112150862	0.847405942411279	0.563744378665544	0.000432425907167443	0.718234188879755	0.7176			1	FALSE
REV_OCD__Chong_2022	OCD	Chong_2022	1e-05	OK	71	71	22.3	Weighted median	-0.00140259471925735	0.00730121667101554	0.847660549482567		0.000432425907167443	0.718234188879755	0.7176			1	FALSE
REV_OCD__Chong_2022	OCD	Chong_2022	1e-05	OK	71	71	22.3	Robust adjusted profile score (RAPS)	0.00358645831944881	0.00533773815982061	0.501643537634432		0.000432425907167443	0.718234188879755	0.7176			1	FALSE
REV_OCD__Gupta_2023_raw	OCD	Gupta_2023_raw	1e-05	OK	68	68	22.3	Inverse variance weighted	0.00309003600105629	0.00918587605707769	0.736576858836281	0.0189583676451924	0.00130653625337768	0.575019890439762	0.0208			1	FALSE
REV_OCD__Gupta_2023_raw	OCD	Gupta_2023_raw	1e-05	OK	68	68	22.3	MR Egger	-0.0163265930256848	0.0356741564183286	0.64870066973722	0.0167117591307205	0.00130653625337768	0.575019890439762	0.0208			1	FALSE
REV_OCD__Gupta_2023_raw	OCD	Gupta_2023_raw	1e-05	OK	68	68	22.3	Weighted median	0.0202247130241738	0.0112616657435584	0.0725120112975397		0.00130653625337768	0.575019890439762	0.0208			1	FALSE
REV_OCD__Gupta_2023_raw	OCD	Gupta_2023_raw	1e-05	OK	68	68	22.3	Robust adjusted profile score (RAPS)	0.00494179778157108	0.0101226153084696	0.625412593320554		0.00130653625337768	0.575019890439762	0.0208			1	FALSE
REV_OCD__Gupta_2023_adj	OCD	Gupta_2023_adj	1e-05	OK	68	68	22.3	Inverse variance weighted	0.00307745790175508	0.00827298617908659	0.709901215206937	0.251713459271883	0.000153888292006262	0.941626867309232	0.2484			1	FALSE
REV_OCD__Gupta_2023_adj	OCD	Gupta_2023_adj	1e-05	OK	68	68	22.3	MR Egger	0.000790339898235887	0.032212336495507	0.980499644988266	0.225401711366308	0.000153888292006262	0.941626867309232	0.2484			1	FALSE
REV_OCD__Gupta_2023_adj	OCD	Gupta_2023_adj	1e-05	OK	68	68	22.3	Weighted median	-0.0017762350208731	0.0115489665064417	0.877767162636762		0.000153888292006262	0.941626867309232	0.2484			1	FALSE
REV_OCD__Gupta_2023_adj	OCD	Gupta_2023_adj	1e-05	OK	68	68	22.3	Robust adjusted profile score (RAPS)	0.00200956516601877	0.0092704766155334	0.828387260518017		0.000153888292006262	0.941626867309232	0.2484			1	FALSE
